"Date","Price","Open","High","Low","Vol.","Change %"
"09/08/2023","85.91","85.50","86.64","85.22","14.87K","0.62%"
"09/07/2023","85.38","87.10","87.55","85.16","28.85K","-1.86%"
"09/06/2023","87.00","88.83","89.02","86.67","25.44K","-1.98%"
"09/05/2023","88.76","89.06","89.24","87.17","33.59K","-1.32%"
"09/01/2023","89.95","87.84","90.00","87.55","35.99K","2.43%"
"08/31/2023","87.82","87.80","88.45","87.41","19.17K","-0.07%"
"08/30/2023","87.88","86.86","88.18","86.86","16.66K","1.14%"
"08/29/2023","86.89","86.86","87.49","86.31","12.42K","0.02%"
"08/28/2023","86.87","87.12","87.84","86.11","14.84K","-0.50%"
"08/25/2023","87.31","85.98","87.49","85.73","23.91K","1.42%"
"08/24/2023","86.09","85.94","86.59","85.53","14.55K","0.31%"
"08/23/2023","85.82","84.49","86.00","84.30","15.28K","1.73%"
"08/22/2023","84.36","83.92","84.91","83.60","11.08K","0.78%"
"08/21/2023","83.71","83.80","85.16","83.62","14.21K","0.11%"
"08/18/2023","83.62","83.93","84.45","83.53","14.18K","0.01%"
"08/17/2023","83.61","84.70","84.80","83.40","20.17K","-1.31%"
"08/16/2023","84.72","85.03","85.50","84.41","15.19K","-0.45%"
"08/15/2023","85.10","86.67","86.78","85.01","14.36K","-1.58%"
"08/14/2023","86.47","87.69","87.80","85.17","26.20K","-1.62%"
"08/11/2023","87.89","86.15","88.83","85.00","34.59K","2.02%"
"08/10/2023","86.15","85.22","86.66","85.08","17.63K","0.94%"
"08/09/2023","85.35","85.21","85.55","84.65","11.38K","0.18%"
"08/08/2023","85.20","85.43","85.45","84.40","17.61K","-0.16%"
"08/07/2023","85.34","84.34","85.90","84.27","17.08K","1.25%"
"08/04/2023","84.29","84.85","85.14","83.81","12.84K","-0.48%"
"08/03/2023","84.70","84.53","85.32","83.25","19.23K","0.13%"
"08/02/2023","84.59","86.11","86.22","84.03","20.84K","-1.89%"
"08/01/2023","86.22","84.96","86.28","84.61","20.01K","1.77%"
"07/31/2023","84.72","84.01","86.31","83.75","20.16K","0.55%"
"07/28/2023","84.26","84.58","85.68","84.14","18.67K","-0.14%"
"07/27/2023","84.38","87.78","88.39","84.27","30.05K","-4.04%"
"07/26/2023","87.93","86.53","88.00","85.80","34.10K","0.99%"
"07/25/2023","87.07","85.05","87.19","84.89","32.06K","2.24%"
"07/24/2023","85.16","84.48","85.50","84.01","17.12K","0.80%"
"07/21/2023","84.48","84.48","85.80","83.23","26.69K","0.20%"
"07/20/2023","84.31","83.75","84.90","83.52","22.75K","0.67%"
"07/19/2023","83.75","82.00","84.00","81.95","25.97K","1.82%"
"07/18/2023","82.25","82.01","83.00","81.68","20.08K","0.15%"
"07/17/2023","82.13","81.22","82.55","81.01","14.00K","1.12%"
"07/14/2023","81.22","81.68","82.61","80.75","17.86K","-0.56%"
"07/13/2023","81.68","81.78","82.08","81.15","15.18K","0.04%"
"07/12/2023","81.65","82.12","83.10","81.34","31.39K","-0.57%"
"07/11/2023","82.12","79.48","82.25","79.27","34.19K","3.62%"
"07/10/2023","79.25","81.00","81.24","78.97","19.26K","-2.53%"
"07/07/2023","81.31","83.10","84.12","81.19","0.10K","-2.19%"
"07/06/2023","83.13","80.83","84.00","80.83","0.06K","1.90%"
"07/05/2023","81.58","82.20","82.56","81.22","0.04K","-1.19%"
"07/03/2023","82.56","82.15","83.00","82.00","0.02K","1.20%"
"06/30/2023","81.58","79.80","82.21","79.80","0.05K","2.99%"
"06/29/2023","79.21","78.10","80.10","77.29","0.02K","1.45%"
"06/28/2023","78.08","76.19","78.22","76.19","0.09K","2.05%"
"06/27/2023","76.51","77.54","77.54","76.28","0.02K","-0.84%"
"06/26/2023","77.16","79.35","80.34","76.83","0.13K","-3.34%"
"06/23/2023","79.83","81.52","81.52","79.39","0.05K","-2.40%"
"06/22/2023","81.79","81.45","82.05","80.62","0.03K","-0.39%"
"06/21/2023","82.11","81.73","82.20","81.73","0.01K","-0.76%"
"06/20/2023","82.74","82.20","83.09","82.19","0.02K","0.84%"
"06/16/2023","82.05","81.37","82.05","81.37","0.01K","0.21%"
"06/15/2023","81.88","82.04","82.04","81.40","0.02K","0.11%"
"06/14/2023","81.79","82.72","82.90","81.70","7.33K","-1.12%"
"06/13/2023","82.72","83.53","84.27","82.60","11.12K","-0.92%"
"06/12/2023","83.49","84.10","84.10","83.08","14.45K","-0.65%"
"06/09/2023","84.04","84.31","84.63","83.77","20.29K","-0.32%"
"06/08/2023","84.31","85.00","86.96","84.11","27.98K","-0.82%"
"06/07/2023","85.01","85.33","85.50","84.06","20.25K","-0.39%"
"06/06/2023","85.34","84.69","85.71","84.48","17.01K","0.65%"
"06/05/2023","84.79","85.99","86.45","84.38","20.75K","-1.46%"
"06/02/2023","86.05","86.42","87.16","85.50","16.76K","-0.43%"
"06/01/2023","86.42","83.77","86.89","83.55","26.19K","3.52%"
"05/31/2023","83.48","84.49","84.49","82.56","19.75K","-0.61%"
"05/30/2023","83.99","83.64","86.54","82.76","26.84K","0.77%"
"05/26/2023","83.35","80.11","83.74","80.11","29.56K","4.03%"
"05/25/2023","80.12","81.71","82.78","79.86","25.93K","-1.96%"
"05/24/2023","81.72","84.35","84.40","81.40","22.72K","-3.12%"
"05/23/2023","84.35","85.32","85.66","83.86","15.48K","-1.14%"
"05/22/2023","85.32","86.72","87.25","84.61","20.54K","-1.61%"
"05/19/2023","86.72","86.30","87.98","86.13","23.93K","0.07%"
"05/18/2023","86.66","86.50","87.16","85.62","32.32K","-0.32%"
"05/17/2023","86.94","83.20","87.00","82.84","41.23K","4.27%"
"05/16/2023","83.38","82.35","83.97","81.50","20.90K","1.23%"
"05/15/2023","82.37","80.54","83.24","80.53","17.25K","2.28%"
"05/12/2023","80.53","79.60","81.76","79.60","16.11K","1.14%"
"05/11/2023","79.62","80.73","81.24","79.52","17.79K","-1.41%"
"05/10/2023","80.76","80.96","81.60","80.20","14.46K","-0.28%"
"05/09/2023","80.99","83.18","83.18","80.40","21.70K","-0.66%"
"05/08/2023","81.53","83.90","84.87","83.05","16.34K","-0.73%"
"05/05/2023","82.13","83.50","83.50","83.50","0.04K","2.68%"
"05/04/2023","79.99","79.00","81.76","78.93","23.68K","3.90%"
"05/03/2023","76.99","80.72","80.79","78.56","16.39K","-2.05%"
"05/02/2023","78.60","81.31","82.33","80.16","14.05K","-1.18%"
"05/01/2023","79.54","80.55","81.58","79.91","11.48K","0.65%"
"04/28/2023","79.03","80.82","80.82","80.82","0.00K","0.51%"
"04/27/2023","78.63","78.75","81.10","78.12","19.24K","2.77%"
"04/26/2023","76.51","78.60","79.88","78.09","16.06K","-0.64%"
"04/25/2023","77.00","76.22","76.22","76.22","0.01K","-2.51%"
"04/24/2023","78.98","80.96","81.45","79.65","0.31K","0.73%"
"04/21/2023","78.41","79.19","79.97","78.42","1.59K","-1.05%"
"04/20/2023","79.24","83.12","83.25","79.24","5.55K","-4.81%"
"04/19/2023","83.24","84.50","84.93","83.10","5.73K","-1.55%"
"04/18/2023","84.55","83.30","84.93","83.20","10.08K","1.50%"
"04/17/2023","83.30","82.89","83.96","82.65","12.61K","0.53%"
"04/14/2023","82.86","83.32","83.77","82.76","18.25K","-0.59%"
"04/13/2023","83.35","82.50","83.81","82.25","23.17K","1.09%"
"04/12/2023","82.45","82.69","83.17","82.04","23.94K","-0.36%"
"04/11/2023","82.75","82.33","83.07","81.90","20.09K","0.36%"
"04/10/2023","82.45","83.00","83.63","82.33","19.61K","-0.90%"
"04/06/2023","83.20","81.45","83.43","81.20","25.57K","2.63%"
"04/05/2023","81.07","81.00","81.97","80.51","13.54K","0.02%"
"04/04/2023","81.05","82.38","83.00","80.22","17.75K","-1.61%"
"04/03/2023","82.38","83.38","83.64","81.88","15.89K","-0.48%"
"03/31/2023","82.78","83.64","83.69","82.26","16.29K","-0.86%"
"03/30/2023","83.50","82.68","83.95","82.05","16.77K","0.89%"
"03/29/2023","82.76","82.52","83.42","81.31","22.29K","0.29%"
"03/28/2023","82.52","79.66","82.52","79.66","21.28K","3.77%"
"03/27/2023","79.52","76.84","79.54","76.55","18.67K","3.89%"
"03/24/2023","76.54","77.54","77.86","75.70","17.86K","-1.34%"
"03/23/2023","77.58","78.20","79.47","77.15","13.79K","-0.89%"
"03/22/2023","78.28","78.01","79.80","77.78","13.92K","0.55%"
"03/21/2023","77.85","77.30","79.16","77.22","14.04K","0.82%"
"03/20/2023","77.22","77.60","79.49","76.68","17.45K","-0.78%"
"03/17/2023","77.83","79.10","79.32","76.86","17.53K","-1.68%"
"03/16/2023","79.16","79.25","79.87","77.55","20.98K","0.06%"
"03/15/2023","79.11","81.30","81.73","78.22","21.83K","-2.78%"
"03/14/2023","81.37","80.60","82.49","80.30","20.01K","0.23%"
"03/13/2023","81.18","78.69","81.18","77.95","34.65K","3.84%"
"03/10/2023","78.18","82.20","82.25","78.18","37.57K","-5.01%"
"03/09/2023","82.30","82.62","83.72","81.81","15.57K","-0.53%"
"03/08/2023","82.74","82.92","83.48","82.16","15.01K","-0.18%"
"03/07/2023","82.89","83.12","83.12","83.12","0.00K","-2.32%"
"03/06/2023","84.86","84.18","85.38","83.28","13.59K","0.58%"
"03/03/2023","84.37","84.30","84.30","84.30","0.00K","1.83%"
"03/02/2023","82.85","85.50","86.25","83.11","20.41K","-2.03%"
"03/01/2023","84.57","84.03","86.08","83.80","17.27K","0.45%"
"02/28/2023","84.19","84.75","84.75","83.75","0.00K","-0.95%"
"02/27/2023","85.00","84.90","85.00","83.30","13.87K","-0.15%"
"02/24/2023","85.13","82.00","82.60","82.00","0.01K","3.30%"
"02/23/2023","82.41","83.06","83.06","82.00","0.02K","0.19%"
"02/22/2023","82.25","81.87","82.78","81.87","0.09K","1.64%"
"02/21/2023","80.92","80.36","83.50","79.80","4.28K","0.83%"
"02/17/2023","80.25","81.25","81.75","80.00","6.55K","-1.23%"
"02/16/2023","81.25","82.50","83.79","81.00","7.68K","-1.57%"
"02/15/2023","82.55","85.25","85.50","82.03","14.28K","-3.34%"
"02/14/2023","85.40","85.50","85.90","84.40","9.37K","-0.28%"
"02/13/2023","85.64","85.15","86.73","84.53","16.69K","0.43%"
"02/10/2023","85.27","85.30","85.65","84.26","17.70K","-0.27%"
"02/09/2023","85.50","85.32","86.30","85.10","27.19K","0.15%"
"02/08/2023","85.37","85.61","85.89","84.14","23.42K","-0.30%"
"02/07/2023","85.63","83.27","86.99","83.27","32.55K","2.83%"
"02/06/2023","83.27","85.13","85.60","83.07","22.34K","-2.53%"
"02/03/2023","85.43","86.15","86.45","85.05","17.02K","-1.11%"
"02/02/2023","86.39","85.80","87.29","85.43","16.55K","0.91%"
"02/01/2023","85.61","86.01","87.00","85.30","17.24K","-0.71%"
"01/31/2023","86.22","85.30","86.85","85.01","22.41K","1.32%"
"01/30/2023","85.10","87.25","87.40","84.50","18.48K","-2.06%"
"01/27/2023","86.89","87.35","87.56","86.11","10.05K","-0.70%"
"01/26/2023","87.50","86.80","88.88","86.63","17.02K","0.97%"
"01/25/2023","86.66","86.16","87.50","85.12","12.76K","0.49%"
"01/24/2023","86.24","87.32","87.32","85.63","13.36K","-1.32%"
"01/23/2023","87.39","86.70","88.68","85.80","22.81K","0.80%"
"01/20/2023","86.70","83.58","86.79","83.57","19.41K","3.97%"
"01/19/2023","83.39","84.80","85.64","83.23","18.15K","-1.67%"
"01/18/2023","84.81","82.86","86.30","82.86","21.39K","2.40%"
"01/17/2023","82.82","82.40","83.22","81.97","14.29K","0.64%"
"01/13/2023","82.29","82.00","83.40","81.65","18.13K","0.30%"
"01/12/2023","82.04","84.40","84.87","81.85","19.97K","-2.63%"
"01/11/2023","84.26","84.61","85.84","83.40","14.88K","-0.59%"
"01/10/2023","84.76","86.00","86.15","84.30","14.17K","-1.69%"
"01/09/2023","86.22","85.67","87.97","84.58","21.88K","0.63%"
"01/06/2023","85.68","82.58","86.10","82.11","16.47K","3.75%"
"01/05/2023","82.58","80.51","83.73","80.50","16.64K","2.66%"
"01/04/2023","80.44","83.17","84.25","80.37","18.86K","-3.25%"
"01/03/2023","83.14","83.37","85.85","82.80","13.02K","-0.28%"
"12/30/2022","83.37","82.64","84.64","82.55","7.53K","0.88%"
"12/29/2022","82.64","83.25","83.89","82.52","7.10K","-0.74%"
"12/28/2022","83.26","84.09","85.08","82.36","10.37K","-1.16%"
"12/27/2022","84.24","85.23","85.64","84.02","7.36K","-1.14%"
"12/23/2022","85.21","84.30","85.79","84.01","9.30K","1.08%"
"12/22/2022","84.30","88.30","88.60","84.30","13.09K","-4.53%"
"12/21/2022","88.30","87.80","89.65","87.36","15.60K","0.52%"
"12/20/2022","87.84","84.08","88.08","83.63","16.36K","4.47%"
"12/19/2022","84.08","81.92","85.75","81.33","16.98K","2.64%"
"12/16/2022","81.92","81.03","82.30","79.80","13.49K","1.10%"
"12/15/2022","81.03","81.37","81.97","80.41","11.58K","-0.42%"
"12/14/2022","81.37","81.47","82.55","80.63","10.98K","-0.32%"
"12/13/2022","81.63","79.29","82.39","78.80","18.27K","2.82%"
"12/12/2022","79.39","80.95","81.88","79.03","14.22K","-1.93%"
"12/09/2022","80.95","80.90","83.75","80.10","18.90K","0.12%"
"12/08/2022","80.85","82.15","84.10","80.76","13.72K","-2.13%"
"12/07/2022","82.61","84.59","85.08","81.17","17.23K","-3.26%"
"12/06/2022","85.39","85.28","86.06","85.28","0.00K","0.53%"
"12/05/2022","84.94","84.80","85.35","84.72","0.01K","0.78%"
"12/02/2022","84.28","84.86","85.80","82.40","11.25K","-1.92%"
