"Date","Price","Open","High","Low","Vol.","Change %"
"05/09/2023","103.80","102.18","104.31","102.13","9.67M","1.28%"
"05/08/2023","102.49","103.00","103.30","102.29","7.04M","0.88%"
"05/06/2023","101.60","101.60","101.60","101.60","","-0.30%"
"05/05/2023","101.91","99.51","101.91","99.40","9.39M","2.99%"
"05/04/2023","98.95","99.80","100.15","97.76","11.03M","0.35%"
"05/03/2023","98.60","98.78","99.13","98.15","6.82M","0.11%"
"05/02/2023","98.49","100.60","100.77","98.25","6.75M","-2.39%"
"04/28/2023","100.90","99.64","101.07","99.14","8.24M","1.38%"
"04/27/2023","99.53","99.01","99.87","98.71","6.01M","0.53%"
"04/26/2023","99.01","100.27","100.35","98.94","6.68M","-0.91%"
"04/25/2023","99.92","100.07","100.18","99.34","5.67M","-0.70%"
"04/24/2023","100.62","100.53","101.50","99.89","6.47M","-0.38%"
"04/20/2023","101.00","100.33","101.30","99.74","7.52M","0.52%"
"04/19/2023","100.48","102.00","102.00","100.25","8.56M","-2.16%"
"04/18/2023","102.70","102.99","103.05","101.74","7.33M","-0.01%"
"04/17/2023","102.71","102.87","103.45","102.25","6.55M","-0.32%"
"04/14/2023","103.04","102.00","103.34","101.49","6.44M","0.11%"
"04/13/2023","102.93","103.57","103.70","102.78","6.05M","-0.41%"
"04/12/2023","103.35","103.30","104.89","102.86","11.62M","0.43%"
"04/11/2023","102.91","100.14","103.06","100.14","12.11M","4.31%"
"04/10/2023","98.66","98.11","98.94","98.08","4.48M","1.10%"
"04/06/2023","97.59","97.67","98.34","97.17","4.07M","-0.04%"
"04/05/2023","97.63","98.56","98.76","96.71","6.36M","-0.89%"
"04/04/2023","98.51","98.80","99.75","98.43","4.27M","0.21%"
"04/03/2023","98.30","98.75","98.75","97.36","6.57M","-0.19%"
"03/31/2023","98.49","100.38","100.76","98.22","7.72M","-1.97%"
"03/30/2023","100.47","99.94","100.76","99.33","8.84M","1.95%"
"03/29/2023","98.55","98.43","98.95","96.96","6.87M","0.53%"
"03/28/2023","98.03","96.30","98.34","96.14","9.35M","1.54%"
"03/27/2023","96.54","96.65","96.80","95.84","6.46M","0.71%"
"03/24/2023","95.86","95.01","96.16","94.60","7.50M","1.35%"
"03/23/2023","94.58","97.50","97.91","93.81","12.22M","-2.52%"
"03/22/2023","97.03","97.59","98.70","96.82","7.36M","-0.92%"
"03/21/2023","97.93","97.98","98.37","97.62","5.18M","0.24%"
"03/20/2023","97.70","98.77","99.00","97.37","7.69M","-1.16%"
"03/17/2023","98.85","99.37","99.37","98.27","7.43M","-1.15%"
"03/16/2023","100.00","99.35","100.54","99.10","12.09M","0.61%"
"03/15/2023","99.39","97.99","99.73","97.42","11.01M","-0.19%"
"03/14/2023","99.58","99.85","100.83","99.14","6.85M","-0.20%"
"03/13/2023","99.78","99.21","100.59","98.91","6.00M","-0.43%"
